"compliance-level-2/0001-input-data-string","0001-input-data-string-test-01","Greeting Message","SUCCESS",""
"compliance-level-2/0002-input-data-number","0002-input-data-number-test-01","Yearly Salary","SUCCESS",""
"compliance-level-2/0003-input-data-string-allowed-values","0003-input-data-string-allowed-values-test-01","Employment Status Statement","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","payment","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","payment","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","payment","SUCCESS",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","Approval","SUCCESS",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","Approval","SUCCESS",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","Approval","SUCCESS",""
"compliance-level-2/0100-feel-constants","0100-feel-constants-test-01","Decision1","SUCCESS",""
